Country,Gender,Age,Time,Start Time
KEN,M,30,123.5333333,0
ETH,M,35,123.7666667,0
ETH,M,35,126.15,0.05
KEN,M,30,126.2166667,0
KEN,M,30,126.2333333,0
JPN,M,35,129.05,0
JPN,M,35,131.4,0
USA,M,30,132.6666667,0
AUS,M,30,132.8666667,0
GBR,M,30,132.95,0
FRA,M,30,133.1666667,0
ETH,M,35,133.3666667,0
JPN,M,35,134.4666667,0
UKR,M,35,134.75,0
ETH,M,35,135.0833333,0
SUI,M,35,135.2,0
JPN,M,35,135.5333333,0
BEL,M,30,135.8166667,0
IRL,M,30,135.8333333,0
GBR,M,35,136.0333333,0
HUN,M,35,136.05,0
NOR,M,35,136.6333333,0
ITA,M,35,136.8833333,0
NZL,M,35,137.1666667,0
USA,M,30,137.2833333,0
SUI,M,35,137.2833333,0
AUT,M,30,137.6166667,0
AUS,M,35,137.95,0
ESP,M,35,138.15,0
ETH,M,35,138.25,0
NED,M,30,138.3166667,0
AUS,M,30,138.7166667,0
AUS,M,35,138.8666667,0
USA,M,35,138.9,0
ETH,M,35,138.9166667,0
GUI,M,35,139.0166667,0.06666666667
GER,M,35,139.3333333,0
SUI,M,35,139.3666667,0
NZL,M,30,139.4,0
IRL,M,40,139.4166667,0
GER,M,35,139.4333333,0
FIN,M,30,139.4666667,0.1333333333
GBR,M,30,139.5833333,0
NZL,M,35,139.65,0
GBR,M,35,139.6833333,0
SUI,M,30,139.85,0
BEL,M,35,140.1,0
FRA,M,35,140.1166667,0
SUI,M,35,140.2333333,0
AUS,M,30,140.25,0
GBR,M,35,140.3,0
GBR,M,35,140.3333333,0
NZL,M,35,141.9666667,0
ITA,M,35,142,0
GBR,M,35,142.15,0.08333333333
BRA,M,35,142.3,0
NOR,M,30,142.5,0.1166666667
AUS,M,35,142.6833333,0
ISR,M,35,143.05,0
POL,M,35,143.5833333,0
GER,M,30,143.75,0
SUI,M,30,144.1833333,0
USA,M,30,144.3166667,0
GER,M,45,144.3833333,0
GBR,M,30,144.4,0
AUS,M,35,144.4333333,0
GBR,M,35,144.6333333,0
FRA,M,30,144.85,0.06666666667
ERI,M,35,146.0666667,0
SUI,M,35,146.5833333,0.1
GER,M,35,146.7333333,0.08333333333
GER,M,35,146.7333333,0.1166666667
GER,M,30,146.9333333,0.1
USA,M,35,147.1833333,0.2333333333
GBR,M,30,147.25,0.08333333333
NOR,M,40,147.35,0.1166666667
IRL,M,35,147.4833333,0
GER,M,40,147.5333333,0.1166666667
FRA,M,40,147.8166667,0
USA,M,35,147.9166667,0.1
GER,M,30,147.9166667,0.1833333333
GBR,M,30,148.2833333,0.1166666667
GBR,M,35,148.3,0.08333333333
NOR,M,30,148.3166667,0.1333333333
IRL,M,35,148.35,0.08333333333
ESP,M,40,148.3666667,0.06666666667
AUS,M,35,148.4666667,0.06666666667
GRE,M,35,148.6,0.06666666667
GBR,M,35,148.6166667,0.1666666667
GER,M,35,148.6833333,0.1
FRA,M,35,148.6833333,0.1
NED,M,35,148.7,0.08333333333
SUI,M,40,148.7333333,0.1
SWE,M,30,148.75,0.1666666667
AUS,M,35,148.75,0.08333333333
FRA,M,35,148.7666667,0.1
DEN,M,30,148.7666667,0.1333333333
IRL,M,35,148.7666667,0.1166666667
DEN,M,35,148.8333333,0.1
GBR,M,35,148.8333333,0.2333333333
USA,M,30,149.0333333,0.2166666667
BEL,M,45,149.05,0.1
GER,M,35,149.2166667,0.08333333333
SUI,M,30,149.35,0
FRA,M,35,149.3833333,0
USA,M,35,149.45,0.1166666667
GER,M,35,149.5333333,0.05
GER,M,35,149.55,0.05
NOR,M,40,149.55,0.1333333333
ITA,M,40,149.7,0.1
GER,M,30,149.7166667,0.1666666667
SWE,M,30,149.8,0.15
BEL,M,35,149.8333333,0.1666666667
LUX,M,30,150,0.1
MEX,M,30,150.2,0.1333333333
GBR,M,40,150.2166667,0.1666666667
JPN,M,35,150.3,0.08333333333
GBR,M,45,150.35,0.1666666667
CHN,M,30,150.4,0.08333333333
NZL,M,35,150.4166667,0.08333333333
USA,M,35,150.5333333,0.2166666667
NED,M,35,150.5666667,0.15
ESP,M,35,151.0333333,20.18333333
GER,M,35,151.2666667,0.1833333333
GBR,M,40,151.3833333,0
USA,M,35,151.4333333,0.2333333333
GBR,M,30,151.5166667,0.2333333333
GER,M,30,151.5666667,0.1833333333
ESP,M,35,151.5666667,0.1333333333
FRA,M,35,151.6333333,0.2333333333
COL,M,40,151.6666667,0.1
SUI,M,35,151.7333333,0.08333333333
AUT,M,30,151.8166667,0.1
CZE,M,30,151.8333333,0.1333333333
USA,M,30,151.9166667,0.05
NOR,M,40,152.15,0.1166666667
BEL,M,30,152.25,0.1
POR,M,30,152.35,0.1
USA,M,35,152.4166667,0.08333333333
GER,M,35,152.4833333,0.2
ISR,M,30,152.55,0.15
GER,M,35,152.6,0.25
FRA,M,30,152.65,0.1666666667
NED,M,35,152.7,0.3666666667
GBR,M,35,152.8333333,0.1166666667
IRL,M,30,152.9666667,0.1666666667
NOR,M,30,153.0166667,0.2
CZE,M,35,153.0333333,0.1333333333
USA,M,30,153.0333333,0.1166666667
SUI,M,30,153.0666667,0.5666666667
AUS,M,35,153.1166667,0.06666666667
IRL,M,35,153.1666667,0.08333333333
IRL,M,40,153.1833333,0.1
POR,M,40,153.1833333,0.1
COL,M,35,153.2333333,0.1
USA,M,40,153.4166667,0.2333333333
USA,M,30,153.5,0
NZL,M,30,153.55,0.1
DEN,M,40,153.6666667,0.1166666667
GBR,M,40,153.8166667,0.4
POL,M,35,153.8166667,0.1333333333
GER,M,35,153.9,0.1
GER,M,35,153.9833333,0
GBR,M,45,154.05,0.2166666667
POL,M,35,154.0833333,0.2
CHI,M,30,154.1166667,0.15
GER,M,30,154.1166667,0.1
GBR,M,35,154.1333333,0.1166666667
MAS,M,30,154.1666667,0.08333333333
GBR,M,35,154.35,0.1333333333
DEN,M,35,154.4166667,0.1333333333
LTU,M,35,154.4666667,0.1
GER,M,35,154.4833333,0.2666666667
FRA,M,40,154.4833333,0.2333333333
IRL,M,35,154.5166667,0.1166666667
USA,M,30,154.5333333,0.2333333333
ESP,M,30,154.6166667,0.08333333333
ITA,M,40,154.6166667,0.1333333333
NED,M,35,154.65,0.08333333333
GBR,M,40,154.6666667,0.1166666667
NOR,M,40,154.6833333,0.5666666667
BEL,M,40,154.75,0.1833333333
GER,M,40,154.8,0.08333333333
NOR,M,35,154.85,0.1
UKR,M,30,154.85,0.45
GBR,M,35,154.8833333,0.3
GBR,M,30,154.8833333,0
SWE,M,35,154.95,0.1833333333
SWE,M,30,154.9833333,0.15
GER,M,35,155.0166667,0.08333333333
AUS,M,35,155.0166667,0.1833333333
NOR,M,35,155.0333333,0.1333333333
GBR,M,35,155.0666667,0.06666666667
GBR,M,35,155.0666667,0.2166666667
GBR,M,30,155.1833333,0.2333333333
NOR,M,30,155.3,0.1333333333
GER,M,35,155.3333333,0.2833333333
GBR,M,35,155.3333333,0.1666666667
FRA,M,30,155.35,0.1166666667
ISL,M,45,155.3833333,0.1333333333
BEL,M,30,155.4333333,0.1166666667
IRL,M,30,155.5,0.1166666667
IRL,M,40,155.5333333,0.4666666667
USA,M,30,155.55,0.3166666667
NOR,M,35,155.65,0.25
IRL,M,35,155.6666667,0.1166666667
RUS,M,30,155.7166667,0.2333333333
NED,M,35,155.75,0.1333333333
GBR,M,30,155.7833333,0.3333333333
POR,M,35,155.8166667,0.06666666667
CAN,M,30,155.8666667,0.1
USA,M,40,155.9,0.3
AUS,M,45,155.9,0.1166666667
FIN,M,35,155.9166667,0.1333333333
GER,M,35,155.9166667,0.15
GER,M,35,155.95,0.45
NOR,M,40,155.95,0.1333333333
ITA,M,45,155.9833333,0
GER,M,35,156.0166667,0.25
FRA,M,30,156.05,0.1166666667
SWE,M,30,156.1,0.15
AUT,M,35,156.1166667,0.1
USA,M,30,156.1333333,0.1
DEN,M,35,156.2333333,0.1166666667
AUS,M,30,156.2833333,0.3666666667
POL,M,30,156.2833333,0.1666666667
NOR,M,35,156.3333333,0.1333333333
ESP,M,40,156.3666667,0.1
GER,M,35,156.4,0.1666666667
GER,M,35,156.4,0.1
GER,M,35,156.4,0.5
AUT,M,30,156.4333333,0.1666666667
FRA,M,35,156.45,0.1666666667
NOR,M,35,156.45,0.2833333333
CHI,M,45,156.4666667,0.2
NED,M,40,156.4666667,0.06666666667
CAN,M,30,156.5833333,0.2333333333
GBR,M,30,156.6,0.15
ISR,M,35,156.8,0.15
GER,M,30,156.8166667,0.2
IRL,M,35,156.95,0.2
GER,M,40,156.95,0.2166666667
SUI,M,30,156.9666667,0.2666666667
SWE,M,35,157.0333333,0.1166666667
DEN,M,40,157.0833333,0.3
ESP,M,35,157.0833333,0.1166666667
DEN,M,35,157.0833333,0.4333333333
GBR,M,35,157.1,0.1166666667
TUR,M,35,157.1,0.1166666667
GER,M,40,157.1166667,0.08333333333
GER,M,35,157.1166667,0.1166666667
BEL,M,40,157.1333333,0.1
USA,M,35,157.2166667,0.4166666667
URU,M,30,157.25,0.08333333333
GBR,M,30,157.3,0.1333333333
DEN,M,30,157.3166667,0.15
FRA,M,30,157.4666667,0.2166666667
NOR,M,45,157.5166667,0.25
DEN,M,45,157.5333333,0.1333333333
RUS,M,45,157.6833333,0.35
NOR,M,35,157.7,0.1333333333
MAR,M,40,157.7,0.1333333333
BEL,M,30,157.7166667,0.1666666667
IRL,M,40,157.7666667,0.1666666667
GER,M,35,157.8,0.08333333333
USA,M,30,157.8333333,0.3
NOR,M,35,157.8666667,0.1166666667
GER,M,35,157.8833333,0.2666666667
GBR,M,45,157.9,0.1
NED,M,35,157.9,0.2833333333
CAN,M,35,157.9666667,0.15
RUS,M,30,158.0166667,0.1666666667
RUS,M,35,158.0833333,0.1
GER,M,30,158.1333333,0.1666666667
POL,M,30,158.2333333,0.1166666667
IRL,M,40,158.25,0.25
GER,M,35,158.2666667,0.1166666667
IRL,M,35,158.3333333,0.35
GBR,M,40,158.3833333,0.1666666667
NED,M,35,158.4,0
ITA,M,30,158.4333333,0.4166666667
NOR,M,45,158.5,0.15
ITA,M,30,158.5,0.1
NOR,M,35,158.5333333,0.2833333333
JPN,M,30,158.55,0.1166666667
FRA,M,40,158.6,0.25
IRL,M,30,158.6666667,0.2666666667
LAT,M,45,158.6833333,0.1166666667
NOR,M,35,158.6833333,0.1666666667
NOR,M,35,158.7,0.1333333333
IRL,M,35,158.7,0.1666666667
NOR,M,40,158.7333333,0.15
ESP,M,35,158.75,0.35
IRL,M,45,158.75,0.2
TUR,M,35,158.8333333,0.1833333333
NED,M,35,158.8333333,0
RUS,M,35,158.8833333,0.3166666667
GBR,M,45,158.9666667,0.2333333333
IRL,M,45,159.05,0.1833333333
NOR,M,35,159.05,0.35
CHI,M,35,159.0666667,0.25
ITA,M,40,159.15,0.1833333333
IRL,M,30,159.2166667,0.1333333333
AUS,M,40,159.2333333,1.25
ESP,M,35,159.2666667,0
GBR,M,35,159.3166667,0
GBR,M,35,159.3166667,0.1166666667
LTU,M,30,159.35,0.1
USA,M,35,159.35,0.2666666667
USA,M,35,159.3666667,0.15
CHN,M,35,159.3666667,0.3666666667
IRL,M,35,159.3666667,0.15
UKR,M,35,159.4666667,0.2833333333
JPN,M,30,159.5166667,0.08333333333
POL,M,30,159.5166667,0.2833333333
ARG,M,40,159.5333333,0.08333333333
POL,M,35,159.5666667,0.1333333333
GBR,M,35,159.5666667,0.08333333333
IRL,M,35,159.5666667,0.1666666667
SWE,M,40,159.5833333,0.2
FRA,M,45,159.6166667,0.06666666667
IRL,M,40,159.6333333,0.2
GER,M,45,159.6833333,0.15
FRA,M,35,159.7,0.5
BRA,M,40,159.7333333,0.1166666667
CHN,M,40,159.75,0.08333333333
FRA,M,30,159.7666667,0.1
ESP,M,35,159.8333333,0.2166666667
FRA,M,40,159.8333333,0.2833333333
FRA,M,40,159.9,0.2666666667
NOR,M,40,159.9333333,0.1166666667
SWE,M,40,160,0.2833333333
GER,M,30,160.0333333,0.25
USA,M,35,160.05,0.2166666667
SUI,M,45,160.15,0.1666666667
DEN,M,40,160.1666667,0.15
DEN,M,40,160.1833333,0.5666666667
AUS,M,30,160.2,0.6333333333
GER,M,30,160.2,0.4
BEL,M,40,160.2166667,0.15
GBR,M,40,160.2333333,0.5166666667
SVK,M,45,160.3166667,0.5166666667
BEL,M,35,160.3333333,0.1333333333
SWE,M,35,160.3833333,0.2833333333
ESP,M,40,160.4166667,0.2166666667
CAN,M,50,160.4333333,0.2666666667
GER,M,50,160.5833333,0.1166666667
GBR,M,45,160.6,0.2833333333
IRL,M,40,160.7333333,0.1833333333
GER,M,35,160.7333333,0.1
POL,M,35,160.7333333,0.1333333333
POL,M,30,160.75,0.1666666667
NED,M,35,160.75,0.1333333333
USA,M,35,160.8166667,0.4666666667
AUS,M,35,160.8833333,0.1166666667
GER,M,35,160.9333333,0.5166666667
GBR,M,35,160.9333333,0.3833333333
FRA,M,40,160.9666667,0.1166666667
AUS,M,45,160.9833333,0.25
CAN,M,30,161.0166667,0.4
GER,M,35,161.0833333,0.5333333333
FRA,M,30,161.15,0.1666666667
CRC,M,35,161.1666667,0.06666666667
GBR,M,35,161.1833333,0.3666666667
FRA,M,30,161.2666667,0.2666666667
NED,M,35,161.3,0.06666666667
FRA,M,35,161.3333333,0.7
NOR,M,35,161.3666667,0.4666666667
MEX,M,35,161.4166667,0.2833333333
